S.No,Name,Short Name,Branch Name,City/Area,Email,TIN No,NIC No,VAT No,Business Registration No,SMS Phone,Currency,Sales Type,Payment Terms,DOB,Discount,Credit Limit,Address,Salesman,Location,Tax Group,Sales Discount Account,Receivable Account,Prompt Payment Discount,Credit Allowed,Credit Status,Status,General Notes,Sales Group,Relationship Manager
86,Branded Trading (Pvt) Ltd.,0761064314,Luxora International (Pvt) Ltd.,Colombo,info@luxoraint.com,,,,,0761064314,LKR,Retail,15 Days,05/12/2024,0,0,"No. 80, Nawala RD, Nugegoda.",Rumesh,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - WS,
87,Beyond The Sea By Ceylonese,0778200171,Beyond The Sea By Ceylonese,Colombo,,,,,,0778200171,LKR,Retail,Bank Transfer,06/12/2024,0,0,"Beyond The Sea Hotel, Wenamulla, Madampagama, Ambalangoda.",Rumesh,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - WS,
88,Pearl Royal Hotel,0773228888,Pearl Royal Hotel,Colombo,,,,,,0773228888,LKR,Retail,COD-IML,11/12/2024,0,0,"34, De Voss Avenue, Colombo 04.",Rumesh,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
89,Vetmax Pharma International (Pvt)Ltd.,0722303909,Vetmax Pharma International (Pvt)Ltd.,Colombo,Vetmaxpharma.int@gmail.com,,,,`,0722303909,LKR,Retail,15 Days,17/12/2024,0,0,"No. 38/A, Weligampitiya, Ja-Ela",Rumesh,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
90,Eco Water Technologies (PVT)ltd,0777816064,Eco Water Technologies (PVT)ltd,Colombo,,,,,,0777816064,LKR,Retail,15 Days,06/01/2025,0,0,"856/5, Wishwakalawa Juntion, Mampe, Piliyandala.",Rumesh,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
91,Serviced Apartments LK,0770033848,Serviced Apartments LK,Colombo,,,,,,0770033848,LKR,Retail,COD-IML,09/01/2025,0,0,"Urban Homes Koswatta, No 555, Thalangama North, Koswatta, Battaramulla.",Rumesh,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
92,S & D Enterprises,0768708936,Luxit,Colombo,,,,,,0768708936,LKR,Retail,30 Days,17/01/2025,0.2,0,"No. 186/2, Kanatta RD, Palanwatta, Pannipitiya.",Rumesh,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - WS,
93,Miss.Julie Tahou,0761029131,Miss.Julie Tahou,Colombo,,,,,,0761029131 ,LKR,Retail,Bank Transfer,24/02/2025,0,0,"No 5/2 Lilian Avenue, Mount Lavinia.",Rumesh,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
94,Arangallage Salon,0777209376,Arangallage Salon,Colombo,,,,,,0777209376,LKR,Retail,Bank Transfer,24/03/2025,0,0,"No 3/3, Jayamangala mawatha, Jubilee post, Nugegoda.",Rumesh,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
95,Resfeber Holidays - Sri Lanka DMC,0764368000,Resfeber Holidays - Sri Lanka DMC,Colombo,,,,,,0764368000,LKR,Retail,COD-IML,30/03/2025,0,0,"2nd Floor, Ocenica Tower, 490 Galle Rd, Colombo 03.",Rumesh,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
96,Urban Living,0761481434,Urban Living,Colombo,,,,,,0761481434,LKR,Retail,COD-IML,01/04/2025,0,0,"20 3/3, Regent Flats, Chittampalam A. Gardiner Mw, Colombo 2.",Rumesh,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
97,Casa Theo and Casa Winnie,0772289555,Casa Theo and Casa Winnie,Colombo,,,,,,0772289555,LKR,Retail,Bank Transfer,20/05/2025,0,0,"No. 150, St. Joseph’s Street, Colombo 14.",Rumesh,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
98,Mr. Malith Chandhupa,0729463333,Mr. Malith Chandhupa,Colombo,,,,,,0729463333,LKR,Retail,COD-IML,04/06/2025,0,0,"310/2A, Nawala road, Nawala",Rumesh,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
99,Happy Skin By Lucky,0775671922,Happy Skin By Lucky,Colombo,,,,,,0775671922,LKR,Retail,30 Days,31/07/2025,0,0,"No. 146/5, Batuhena RD, Kalukodayawa, Malwana.",Rumesh,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
100,Amore Creations,0777171377,Amore Creations - Malabe,Colombo,,,,,,0777171377,LKR,A Category - 18%,15 Days,25/09/2025,0,0,,Rumesh,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - WS,
101,Serene Villa,0719849123,Serene Villa,Colombo,,,,,,0719849123,LKR,Retail,COD-IML,11/11/2025,0,0,"No.326/3, Ihala Yagoda Rd, Gampaha.",Rumesh,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
102,Queensbury Hotel,0716749423,Queensbury Hotel,Colombo,,,,,,0716749423,LKR,Retail,COD-IML,18/12/2025,0,0,"No 50, Kaduwela RD, Malabe.",Rumesh,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
103,Ethereal Sinharaja, 0771075912,Ethereal Sinharaja,Colombo,,,,,,0771075912,LKR,Retail,COD-IML,21/12/2025,0,0,"36/3, Poorwarama Road, Nugegoda.",Rumesh,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
104,Holiday Home Ragama,0774101269,Holiday Home Ragama,Colombo,,,,,,0774101269,LKR,Retail,COD-IML,26/12/2025,0,0,"No. 291/2/1, Mangala Mawatha, Pahala Karagamuna, Kadawatha.",Rumesh,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
105,Ceylon Lavish Collections,0763816002 ,Ceylon Lavish Collections,Colombo,,,,,,0763816002 ,LKR,Retail,Bank Transfer,30/12/2025,0,0,"No.359/11, Maya mawatha, Makumbura, Pannipitiya ",Rumesh,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - WS,
106,Queens Hotel Supplier,0782560453,Queens Hotel Supply,Colombo,,,,,,0782560453,LKR,B Category - 15%,30 Days,09/10/2024,0,0,"335/11A, Dewala RD, Katuwana,
Homagama.",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,200000,Good History,Active,,Hospitality - WS,
107,Angam Villa,0741640777,Angam Villa,Colombo,,,,,,0741640777,LKR,Retail,Bank Transfer,17/12/2024,0,0,"No 64, Angampitiya Rd, Kotte. ",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
108,A & G Stores,0775906281,A & G Stores,Colombo,,,,,,0775906281,LKR,Retail,COD-IML,23/04/2025,0,0,"No 16, welyaya Rd, Nawinna, Maharagama.
",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - WS,
109,Anandagiri Home Stay,0777324745,Anandagiri Home Stay,Colombo,,,,,,0777324745,LKR,Retail,COD-IML,30/04/2025,0,0,"108, Sri Vipulasena Mawatha, Colombo 10.",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
110,Go Go Ceylon Pvt Ltd,0766909590,Go Go Ceylon Pvt Ltd,Colombo,,,,,,0766909590,LKR,Retail,Bank Transfer,03/06/2025,0,0,"No 14/1, Parakum Mw, Jayanthi Mw, Battaramulla.",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
111,DV Lanka(pvt),0707667557,DV Lanka(pvt),Colombo,,,,,,0707667557,LKR,Retail,COD-IML,04/06/2025,0,0,"234/3, Udamapitigama, Dompe",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
112,Mr. Amell Attanayake,0719090737,Mr. Amell Attanayake,Colombo,,,,,,0719090737,LKR,Retail,Bank Transfer,06/06/2025,0,0,"No. 354/1/1, Thalawathugoda Road, Pita kotte.",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
113,Wish Fertility Hospital,0707432442,Wish Fertility Hospital,Colombo,,,,,,0707432442,LKR,Retail,COD-IML,03/07/2025,0,0,"No.30, Elhena road,
Maharagama",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
114,Eco Wild Glamping,0772012904,Eco Wild Glamping,Colombo,,,,,,0772012904,LKR,Retail,Bank Transfer,16/07/2025,0,0,"NO 5/1, Sunethra Lane, Thimbirigasyaya Road, Colombo 5",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
115,Wishwa Grandeur luxury Apartments,0777316218,Wishwa Grandeur luxury Apartments,Colombo,,,,,,0777316218,LKR,Retail,COD-IML,17/07/2025,0,0,"135/3 Old Nawala Road, Nawala.",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
116,Red Lotus Foot Care,0772888909,Red Lotus Foot Care,Colombo,,,,,,0772888909,LKR,Retail,COD-IML,17/07/2025,0,0,"414/1/1 A Nawala, Rajagiriya",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Salons & Spa,
117,Royale Colombo Trizen Apartment ,0777630737,Amali jayasinghe,Colombo,,,,,,0777630737,LKR,Retail,COD-IML,28/07/2025,0,0,"73/12 Saranankara Place, Pamankada. ",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
118,AL Manaal Residency,0773572908,AL Manaal Residency,Colombo,,,,,,0773572908,LKR,Retail,COD-IML,30/07/2025,0,0,"61, AL Manaal residency, S.Mahinda Mawatha, Maradana, Colombo 10.",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
119,Ella Heaven Inn ,0715784652,Ella Heaven Inn ,Colombo,,,,,,0715784652,LKR,Retail,Bank Transfer,31/07/2025,0,0,"43, Sri Bimbarama road, Kolamunna, Piliyandala.
",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
120,Yoo Lanka ,0760909197,Yoo Lanka ,Colombo,,,,,,0760909197,LKR,Retail,COD-IML,01/08/2025,0,0,"Uragaha road, Nape, Kosgoda.",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
121,310/2 Air B & B,0773690789,310/2 Air B & B,Colombo,,,,,,0773690789,LKR,Retail,COD-IML,28/08/2025,0,0,"No,310/2 Nawala Rd, Rajagiriya.",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
122,Kuma&#039;s Hair and Beauty ,0713552367,Kuma&#039;s Hair and Beauty ,Colombo,,,,,,0713552367,LKR,Retail,COD-IML,11/09/2025,0,0,"No 36, Siripa road, Thibirigasyaya, Colombo 5.
",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
123,Mr.Keeth - Air B & B ,0778478343,Mr.Keeth - Air B & B ,Colombo,,,,,,0778478343,LKR,Retail,Bank Transfer,23/09/2025,0,0,"26/12A, Jayaweera Mawatha, Ethul Kotte.",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
124,The Tranquil,0770055695,The Tranquil,Colombo,,,,,,0770055695,LKR,Retail,Bank Transfer,29/09/2025,0,0,"No.194/1, Makola South, Makola.",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
125,Iquality,0771676856 ,Iquality,Colombo,,,,,,0771676856,LKR,B Category - 15%,Bank Transfer,17/10/2025,0,0,"No.571 Lake Road, Boralesgamuwa.",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - WS,
126,Castle Hotel ,0774899731,Castle hotel ,Colombo,,,,,,0774899731,LKR,Retail,COD-IML,17/10/2025,0,0," No 36/2, Dadly Senanayake Mw, Borella",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
127,Nadee villa ,0740478617,Nadee villa ,Colombo,,,,,,0740478617,LKR,Retail,COD-IML,24/10/2025,0,0,"No. 375/A, zone 3,  Milenium City, Kotugoda",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
128,We Cay Holidays PVT Limited,0771336373,We Cay Holidays PVT Limited,Colombo,,,,,,0771336373,LKR,Retail,COD-IML,24/10/2025,0,0,"No.91 A, Isipathana Mawatha, Colombo 5 ",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
129,Nilaveli Bay Villa,0779535365,Nilaveli Bay Villa,Colombo,,,,,,0779535365,LKR,Retail,Bank Transfer,24/10/2025,0,0,"No 15A, Gangadara Mw, Mt Lavinia.",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
130,Grand Rovinka Hotel,0717356667,Grand Rovinka Hotel,Colombo,,,,,,0717356667,LKR,Retail,COD-IML,06/11/2025,0,0,"No.103, Sri Somarathana Mawatha,
Bellanwila.",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - WS,
131,Sandalu Bungalows ,0773427272,Sandalu Bungalows ,Colombo,,,,,,0773427272,LKR,Retail,Bank Transfer,06/11/2025,0,0,"No.165, Station Road, Udahamulla, Nugegoda.",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
132,Hotel Glenence ,0718874656,Hotel Glenence ,Colombo,,,,,,0718874656,LKR,Retail,COD-IML,12/11/2025,0,0,"No. 7/46 B, 7 lane, Kapuwatte, Gangodawila, Nugegoda",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
133,Pinnacle Hospitality Pvt Ltd,0777349112,Pinnacle Hospitality Pvt Ltd,Colombo,,,,,,0777349112,LKR,Retail,COD-IML,17/11/2025,0,0,"No.73/12, Saranankara Place, Dehiwala.",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
134,Liyadi Addalachennai,0766708327,Liyadi Addalachennai,Colombo,,,,,,0766708327,LKR,Retail,COD-IML,19/11/2025,0,0,"No.25, Ashraf Road, Addalaichenai-05, Ampara.",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
135,Adaaran Retreat,0777808908,Adaaran Retreat,Colombo,,,,,,0777808908,LKR,Retail,Bank Transfer,01/12/2025,0,0,"No. 120/A, Barns Place, Colombo 07.",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
136,Rohantha Enterprises,0713496272,Rohantha Enterprises,Colombo,,,,,,0713496272,LKR,Retail,COD-IML,03/12/2025,0,0,"15/1 Edirigoda Road
Nugegoda",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
137,Dutch Point Beach Reasort,0768966711,Dutch Point Beach Reasort,Colombo,,,,,,0768966711,LKR,Retail,COD-IML,08/12/2025,0,0,"No 01/111, Pitipana street, Negombo",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
138,Easy Stay,0742834423,Easy Stay,Colombo,,,,,,0742834423,LKR,Retail,COD-IML,24/12/2025,0,0,"No.261/A, Gemunu Mawatha
Kotuwegoda, Rajagiriya.",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - WS,
139,Ilario (Pvt) Ltd.,0763116539,Ilario (Pvt) Ltd.,Colombo,,,,,,0763116539,LKR,Retail,Bank Transfer,31/12/2025,0,0,"No.8/6B Gunawardana Road, Mount Lavinia.",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
140,Jaichem  Chemical ,0752126274,Jaichem  Chemical ,Colombo,,,,,,0752126274,LKR,Retail,15 Days,27/01/2025,0,0,"P5-5B, China street, Pettah.",SA2 - DC,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - WS,
141,Aqua Spectrum ,0712136775,Aqua Spectrum ,Colombo,,,,,,0712136775,LKR,B Category - 15%,30 Days,05/08/2025,0,0,"No 374/3, Pitipana South, Homagama.",SA2 - DC,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - WS,
142,Dare Chem,0718876890,Dare Chem,Colombo,,,,,,0718876890,LKR,B Category - 15%,30 Days,10/09/2025,0,0,"China Street, Pettah",SA2 - DC,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - WS,
143,Dil Wellness Spa,0773477015,Dil Wellness Spa,Colombo,,,,,,0773477015,LKR,B Category - 15%,15 Days,12/09/2025,0,0," 203 1/1, Bauddhaloka MW, Colombo 5.",SA2 - DC,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Salons & Spa,
144,DR Hotel Supplies,0759372897,Jaichem Chemical,Colombo Fort,,,,,,0759372897,LKR,Retail,15 Days,12/09/2024,0,0,"No. 56/1, St Mary&#039;s RD, Ariyalai, Jaffna.",Rumesh,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - WS,
145,Regent Residencies,0777724899,Regent Residencies,Colombo Fort,,,,,,0777724899,LKR,Retail,COD-IML,07/01/2025,0,0,"Hawk Travel (PVT) ltd, 20 1/2, Regent Bldg, Colombo 02.",Rumesh,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
146,Urban Deck Hotel,0743366661,Urban Deck Hotel,Colombo Fort,,,,,,0743366661,LKR,Retail,COD-IML,13/11/2024,0,0,"20/3/3 Sir Chittappalam A  Gardiner Mawatha, Colombo 02.
3, Fort,00200 ",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
147,Urban Deck Hotel,0743366661,Urban Deck Hotel,Colombo Fort,,,,,,0743366661,LKR,Retail,COD-IML,13/11/2024,0,0,"20/3/3 Sir Chittappalam A  Gardiner Mawatha, Colombo 02.
3, Fort,00200 ",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
148,Turbo Chemical Industries (Pvt) Ltd,0771969259,Turbo Chemical Industries (Pvt) Ltd.,Dambulla,,,,,-,0771969259,LKR,Retail,15 Days,0000-00-00,0,0,"Sigirya Junction, Inamaluwa, Dambulla.",Rumesh,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - WS,
149,City Paradise Dabulla,0775454746,City Paradise Dabulla,Dambulla,,,,,,0775454746,LKR,Retail,COD-IML,07/12/2024,0,0,"No. 66/3, Kurunegala RD, Dabulla.",Rumesh,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
150,Fabric Care ,0715747780,Fabric Care ,Dambulla,,,,,,0715747780,LKR,B Category - 15%,30 Days,18/06/2025,0,0,"Galoya Watta, Yapagama, Dambulla.",Rumesh,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - WS,
151,Sigiriya Agrarian Haven,0777247853,Sigiriya Agrarian Haven,Dambulla,,,,,,0777247853,LKR,Retail,COD-IML,10/11/2025,0,0,"High way park, Kandalama Rd, Dambulla.
",Rumesh,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
152,Blue Mountains View ,0715179291,Blue Mountains view - Dambulla ,Dambulla,,,,,,0715179291,LKR,Retail,COD-IML,05/11/2024,0,0,"144/B, Kiralessa, Lenadora",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
153,The Lake Beach Hotel,0712695184,The Lake Beach Hotel,Dambulla,,,,,,0712695184,LKR,Retail,COD-IML,10/12/2025,0,0,"Methsewa asala, Neluwagala, Handapanagala, Monaragala, wellawaya.",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
154,Merian Chemi Products,0775707428,Merian Chemi Products,Dodangoda,,,,,-,0775707428,LKR,B Category - 15%,30 Days,0000-00-00,0,0,"No.274/B, C Sarananda MW, Thudugala, Dodangoda.",Rumesh,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
155,Rekewala Araliya Villa,0711070733,Rekewala Araliya Villa,Downsouth,,,,,,0711070733,LKR,Retail,COD-IML,08/01/2025,0,0,"43/5/D, Sarath Sedara Mawatha, Browns Hill Mawatha.",Rumesh,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
156,Cactus Lounge Restaurant ,0776713234,Cactus Lounge Restaurant ,Downsouth,,,,,,0776713234,LKR,Retail,COD-IML,10/01/2025,0,0,"No.435/7, Matara Rd, Tangalle.",Rumesh,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
157,Top Secret Beach Hotel,0742820961,Top Secret Beach Hotel,Downsouth,,,,,,0742820961,LKR,Retail,COD-IML,06/01/2025,0,0,"Araliya Beach Rd, Meddawaththa, Matara.",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
158,Pivithuru River Cabanas,0702856080,Pivithuru River Cabanas,Downsouth,,,,,,0702856080,LKR,Retail,Bank Transfer,22/10/2025,0,0,"Barathuduwa, Dodanduwa",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
159,Cloudy Hill Cottage,0718731685,Cloudy Hill Cottage,Ella,,,,,-,0718731685,LKR,Retail,COD-IML,0000-00-00,0,0,Sooriyagahawatta  Kithalella  Ella.,Rumesh,Default,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
160,Ella Heritage Hotel,0764519930,Ella Heritage Hotel,Ella,,,,,-,0764519930,LKR,Retail,COD-IML,0000-00-00,0,0,"119/A, Ella - Passara Rd, Ella.",Rumesh,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
161,Moi Galle Fort by DBI,0552055105,Moi Galle Fort by DBI,Ella,,,,,-,,LKR,Retail,COD-IML,0000-00-00,0,0,Rakkithakanda road  Uva karadagolla  kurugama  Ella.,Rumesh,Default,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
162,Ella Odyssey Inn,CM0187,Ella Odyssey Inn,Ella,,,,,,0765700746,LKR,Retail,COD-IML,24/03/2025,0,0,"No 16, Passara Road, Ella.",Rumesh,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
163,Ella Ostella,0779990897,Ella Ostella,Ella,,,,,,0779990897,LKR,Retail,COD-IML,05/05/2025,0,0,"Kitalella, Road, Ella.",Rumesh,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
164,Ella Hide View,0776441764,Ella Hide View,Ella,,,,,,0776441764,LKR,Retail,15 Days,31/01/2025,0,0,"Athimale, Kithal Ella, Ella.",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
165,Pearl Ella,0712400452,Pearl Ella,Ella,,,,,,0712400452,LKR,Retail,COD-IML,24/03/2025,0,0,"Kithal Ella, Ella.
",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
166,White Moon Cabin,0787243331,White Moon Cabin,Ella,,,,,,0787243331,LKR,Retail,COD-IML,16/06/2025,0,0,"The Watte Gedara, Kithalella, Ella
",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
167,Ella Fruit Shop,0765700746,Ella Fruit Shop,Ella,,,,,,0765700746,LKR,B Category - 15%,COD-IML,26/09/2025,0,0,"No 16, Passara Rd, Ella",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - WS,
168,Ever Breeze Ella,0743220010,Ever Breeze Ella,Ella,,,,,,0743220010,LKR,Retail,COD-IML,07/10/2025,0,0,"No. 05, Rathnagiri Estate Rd, Ella.",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
169,Ella Pearl Vista,0777190013,Ella Pearl Vista,Ella,,,,,,0777190013,LKR,Retail,COD-IML,14/10/2025,0,0,"Hettipolawatta, Kumbalawela, Ella.",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
170,Ella River Front Hotel,0773089797,Ella River Front Hotel,Ella,,,,,,0773089797,LKR,Retail,COD-IML,14/10/2025,0,0,"Wellawaya Road, Ella",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
171,Glenmour Resort,0711642870,Glenmour Resort,Ella,,,,,,0711642870,LKR,Retail,Bank Transfer,11/11/2025,0,0,"Ambalanarawa, Uva karandagolla, Ella.",SA1 - PM,Factory,Tax Exempt,Discounts Given,Accounts Receivables,Discounts Given,0,Good History,Active,,Hospitality - Retail,
